lista_surowiec_grupa,lista_towar_grupa,lista_usluga_grupa,lista_dlugoterminowe_grupa,lista_dziaÅ‚y,lista_typy,lista_nazwa_wew,lista_typ,lista_grupa,lista_jm_wew,lista_dziaÅ‚,,,,,,,lista_jm
,,,,,,kozi twarÃ³g,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,
,,,,,,krem czekoladowy,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,krewetka,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,krÃ³lik miÄ™so,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,kurczak korpusy,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,kurczak pierÅ›,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,kurczak wÄ…trÃ³bka,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,kuskus,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,kwasek cytrynowy,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,lazur,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,
,,,,,,liÅ›cie botwiny,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,liÅ›Ä‡ laurowy,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,lody cynamonowe,surowiec,mroÅ¼onka,l,kuchnia,,,,,,,
,,,,,,lody Å›mietankowe,surowiec,mroÅ¼onka,l,kuchnia,,,,,,,
,,,,,,lubczyk suszony,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,majeranek suszony,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,majonez,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,makaron nitka,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,makaron ryÅ¼owy,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,malina mroÅ¼ona,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,malina Å›wieÅ¼a ,surowiec,owoc,kg,kuchnia,,,,,,,
,,,,,,marchewka korzeÅ„,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,mascarpone,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,
,,,,,,masÅ‚o,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,
,,,,,,masÅ‚o orzechowe,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,maÅ›lanka,surowiec,nabiaÅ‚,l,kuchnia,,,,,,,
,,,,,,mÄ…ka,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,mÄ…ka typ 00,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,miÄ™so z dzika II,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,miÄ™ta Å›wieÅ¼a,surowiec,zioÅ‚o,kg,kuchnia,,,,,,,
,,,,,,migdaÅ‚y siekane,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,miÃ³d,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,miso,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,mix grzybÃ³w leÅ›nych,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,mix saÅ‚at pakowany,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,"mleko 1,5%",surowiec,nabiaÅ‚,l,kuchnia,,,,,,,
,,,,,,"mleko 3,2%",surowiec,nabiaÅ‚,l,kuchnia,,,,,,,
,,,,,,mleko kokosowe,surowiec,suchy,l,kuchnia,,,,,,,
,,,,,,mleko kokosowe proszek,surowiec,suchy,l,kuchnia,,,,,,,
,,,,,,mleko sojowe,surowiec,suchy,l,kuchnia,,,,,,,
,,,,,,mozzarella kulki,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,
,,,,,,mozzarella wiÃ³rki,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,
,,,,,,mus mango,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,musztarda francuska,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,musztarda sarepska,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,musztarda saszetka,surowiec,suchy,szt,kuchnia,,,,,,,
,,,,,,nasiona chia,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,nutella,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,ocet balsamiczny,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,ocet jabÅ‚kowy,surowiec,suchy,l,kuchnia,,,,,,,
,,,,,,ocet spirytusowy,surowiec,suchy,l,kuchnia,,,,,,,
,,,,,,ogÃ³rek konserwowy,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,ogÃ³rek konserwowy plastry brutto,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,ogÃ³rek Å›wieÅ¼y,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,olej roÅ›linny,surowiec,suchy,l,kuchnia,,,,,,,
,,,,,,oliwa z oliwek,surowiec,tÅ‚uszcz,l,kuchnia,,,,,,,
,,,,,,orzech wÅ‚oski,surowiec,suchy,kg,kuchnia,,,,,,,
